"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Capitol Hill","Capitol Hill","15.2137","145.7546","Northern Mariana Islands","MP","MNP","","primary","2500","1580556972"
"Renton","Renton","47.4758","-122.1905","United States","US","USA","Washington","","101379","1840019827"
"Chehalis","Chehalis","46.6637","-122.9647","United States","US","USA","Washington","","7533","1840018472"
"Mercer Island","Mercer Island","47.5625","-122.2265","United States","US","USA","Washington","","25261","1840019830"
"Lynnwood","Lynnwood","47.8285","-122.3034","United States","US","USA","Washington","","38273","1840019788"
"Centralia","Centralia","46.7226","-122.9695","United States","US","USA","Washington","","41643.0","1840018471"
"Mountlake Terrace","Mountlake Terrace","47.7920","-122.3076","United States","US","USA","Washington","","21337","1840019792"
"Seattle","Seattle","47.6211","-122.3244","United States","US","USA","Washington","","3643765.0","1840021117"
"Liberty Lake","Liberty Lake","47.6687","-117.1032","United States","US","USA","Washington","","9893","1840037678"
"Airway Heights","Airway Heights","47.6459","-117.5792","United States","US","USA","Washington","","8166","1840018399"
"Brier","Brier","47.7922","-122.2734","United States","US","USA","Washington","","6884","1840018379"
"Port Townsend","Port Townsend","48.1220","-122.7872","United States","US","USA","Washington","","8804.0","1840019797"
"Oak Harbor","Oak Harbor","48.2965","-122.6330","United States","US","USA","Washington","","34663.0","1840019779"
"Anacortes","Anacortes","48.4878","-122.6292","United States","US","USA","Washington","","17955.0","1840018366"
"Grandview","Grandview","46.2431","-119.9084","United States","US","USA","Washington","","18858.0","1840019871"
"Quincy","Quincy","47.2345","-119.8520","United States","US","USA","Washington","","7756.0","1840019818"
"Kelso","Kelso","46.1248","-122.8908","United States","US","USA","Washington","","12130","1840018503"
"Cheney","Cheney","47.4902","-117.5789","United States","US","USA","Washington","","12421.0","1840018398"
"Lacey","Lacey","47.0450","-122.7931","United States","US","USA","Washington","","49748","1840019866"
"Sultan","Sultan","47.8702","-121.8041","United States","US","USA","Washington","","8803.0","1840021080"
"Edmonds","Edmonds","47.8114","-122.3533","United States","US","USA","Washington","","42209","1840037645"
"Lake Forest Park","Lake Forest Park","47.7596","-122.2879","United States","US","USA","Washington","","13392","1840019837"
"Yakima","Yakima","46.5923","-120.5496","United States","US","USA","Washington","","133233.0","1840021154"
"Pacific","Pacific","47.2610","-122.2507","United States","US","USA","Washington","","7184","1840019834"
"Lynden","Lynden","48.9503","-122.4544","United States","US","USA","Washington","","17340.0","1840019752"
"Federal Way","Federal Way","47.3090","-122.3359","United States","US","USA","Washington","","96690","1840019826"
"Mill Creek","Mill Creek","47.8633","-122.2034","United States","US","USA","Washington","","20832","1840019790"
"Lakewood","Lakewood","47.1628","-122.5299","United States","US","USA","Washington","","60296","1840019860"
"Port Angeles","Port Angeles","48.1142","-123.4565","United States","US","USA","Washington","","23865.0","1840019782"
"Longview","Longview","46.1460","-122.9630","United States","US","USA","Washington","","65619.0","1840019904"
"Wapato","Wapato","46.4434","-120.4215","United States","US","USA","Washington","","7686.0","1840021153"
"Arlington","Arlington","48.1697","-122.1446","United States","US","USA","Washington","","19212","1840018378"
"Sammamish","Sammamish","47.6019","-122.0419","United States","US","USA","Washington","","64548","1840021115"
"Covington","Covington","47.3668","-122.1044","United States","US","USA","Washington","","20916","1840018425"
"Wenatchee","Wenatchee","47.4338","-120.3285","United States","US","USA","Washington","","71512.0","1840021074"
"Mattawa","Mattawa","46.7364","-119.9019","United States","US","USA","Washington","","5122.0","1840022292"
"Selah","Selah","46.6482","-120.5389","United States","US","USA","Washington","","7859","1840021149"
"Omak","Omak","48.4227","-119.5159","United States","US","USA","Washington","","8130.0","1840019761"
"Sedro-Woolley","Sedro-Woolley","48.5113","-122.2320","United States","US","USA","Washington","","11838","1840021066"
"Sunnyside","Sunnyside","46.3159","-120.0058","United States","US","USA","Washington","","17927.0","1840021150"
"Normandy Park","Normandy Park","47.4344","-122.3436","United States","US","USA","Washington","","6649","1840019832"
"SeaTac","SeaTac","47.4445","-122.2986","United States","US","USA","Washington","","29140","1840021116"
"Steilacoom","Steilacoom","47.1700","-122.5935","United States","US","USA","Washington","","6337","1840022309"
"Ridgefield","Ridgefield","45.8116","-122.7052","United States","US","USA","Washington","","7117.0","1840019909"
